品牌,厂商,车系,车款,入库总数,指导价,均价,变化值,最低价,最低价渠道,最低价时间,暗访均价,暗访最低价,获取时间,暗访最近价,获取时间,暗访总数
荣威,上汽集团,荣威750,2011款 1.8T 750EX NAVI祺雅版AT,0,22.48,0,0.00,0,,0,0,0,,0,0,0
荣威,上汽集团,荣威750,2011款 2.5L 750E NAVI贵雅版,0,22.98,0,0.00,0,,0,0,0,,0,0,0
荣威,上汽集团,荣威750,2011款 2.5L 750FL NAVI豪雅版,0,25.18,0,0.00,0,,0,0,0,,0,0,0
斯巴鲁,斯巴鲁,驰鹏,2008款 3.6R,0,58.78,0,0.00,0,,0,0,0,,0,0,0
三菱,东南汽车,君阁,2011款 2.0L 手动挡经典型,0,12.98,0,0.00,0,,0,0,0,,0,0,0
三菱,东南汽车,君阁,2011款 2.0L 手动挡豪华型,0,14.48,0,0.00,0,,0,0,0,,0,0,0
三菱,东南汽车,君阁,2011款 2.0L 自动挡豪华型,0,15.48,0,0.00,0,,0,0,0,,0,0,0
三菱,东南汽车,君阁,2011款 2.0L 自动挡旗舰型,0,17.48,0,0.00,0,,0,0,0,,0,0,0
现代,现代(进口),H-1辉翼,2011款 2.4L 舒适版,0,21.18,0,0.00,0,,0,0,0,,0,0,0
现代,现代(进口),H-1辉翼,2011款 2.4L 豪华版,0,23.48,0,0.00,0,,0,0,0,,0,0,0
现代,现代(进口),H-1辉翼,2011款 2.4L 领航版,0,24.98,0,0.00,0,,0,0,0,,0,0,0
铃木,长安铃木,羚羊,2012款 1.3L 舒适型,0,5.28,0,0.00,0,,0,0,0,,0,0,0
铃木,长安铃木,羚羊,2012款 1.3L 标准型,0,4.68,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.5T 手动柴油四驱超豪华型,0,15.88,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.5T 手动柴油四驱豪华型,0,14.88,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.5T 手动柴油四驱标准型,0,12.98,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.5T 手动柴油两驱超豪华型,0,14.88,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.5T 手动柴油两驱豪华型,0,13.88,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.5T 手动柴油两驱标准型,0,11.98,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 自动四驱超豪华型,0,15.78,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 自动四驱豪华型,0,14.78,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 手动四驱超豪华型,0,14.98,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 手动四驱豪华型,0,13.98,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 手动四驱标准型,0,11.98,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 自动两驱超豪华型,0,14.78,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 自动两驱豪华型,0,13.78,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 手动两驱超豪华型,0,13.98,0,0.00,0,,0,0,0,,0,0,0
双环,双环汽车,双环SCEO,2011款 2.4L 手动两驱豪华型,0,12.98,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.6L 手动舒适型,0,8.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.6L 手动豪华型,0,9.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.8L 手动舒适型,0,9.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.8L 手动豪华型,0,10.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.8L 自动豪华型,0,12.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.8T 手动豪华型,0,13.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷,2011款 1.8T 自动尊贵型,0,15.88,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷FRV,2010款 1.3L 手动舒适型,0,5.73,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷FRV,2010款 1.3L 手动豪华型,0,6.53,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷FRV,2010款 1.5L 手动舒适型,0,6.53,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷FRV,2010款 1.5L 手动豪华型,0,7.33,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷FRV,2010款 1.5L 自动舒适型,0,7.73,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华骏捷FRV,2010款 1.5L 自动豪华型,0,8.53,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华尊驰,2011款 1.8T 手动舒适型,0,13.08,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华尊驰,2011款 1.8T 手动豪华型,0,14.08,0,0.00,0,,0,0,0,,0,0,0
